time	I(Cpe)	I(Ideal)	I(Kww)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.000000000000000e-009	4.830714e-004	3.662963e-004	6.410154e-004
1.300976571548255e-006	4.430330e-004	3.557736e-004	6.276298e-004
2.600953143096509e-006	4.060141e-004	3.455363e-004	6.145114e-004
3.900929714644763e-006	3.720147e-004	3.355844e-004	6.016601e-004
5.200906286193018e-006	3.410347e-004	3.259179e-004	5.890759e-004
6.500882857741273e-006	3.130742e-004	3.165367e-004	5.767588e-004
7.800859429289528e-006	2.881332e-004	3.074410e-004	5.647088e-004
9.100836000837779e-006	2.662116e-004	2.986307e-004	5.529260e-004
1.047226457226635e-005	2.450899e-004	2.896131e-004	5.407638e-004
1.184369314369493e-005	2.256496e-004	2.808524e-004	5.288568e-004
1.321512171512350e-005	2.078905e-004	2.723486e-004	5.172050e-004
1.458655028655207e-005	1.918128e-004	2.641017e-004	5.058084e-004
1.595797885798065e-005	1.774164e-004	2.561117e-004	4.946671e-004
1.732940742940922e-005	1.647014e-004	2.483786e-004	4.837809e-004
1.870083600083779e-005	1.536676e-004	2.409024e-004	4.731500e-004
2.012940742940921e-005	1.431905e-004	2.333570e-004	4.623261e-004
2.155797885798062e-005	1.335955e-004	2.260347e-004	4.517381e-004
2.298655028655204e-005	1.248826e-004	2.189355e-004	4.413860e-004
2.441512171512345e-005	1.170518e-004	2.120594e-004	4.312700e-004
2.584369314369487e-005	1.101031e-004	2.054064e-004	4.213899e-004
2.727226457226628e-005	1.040365e-004	1.989765e-004	4.117457e-004
2.870083600083770e-005	9.885195e-005	1.927697e-004	4.023376e-004
2.987226457226629e-005	9.498382e-005	1.878224e-004	3.947807e-004
3.104369314369488e-005	9.136548e-005	1.829970e-004	3.873606e-004
3.221512171512347e-005	8.799695e-005	1.782936e-004	3.800773e-004
3.338655028655206e-005	8.487821e-005	1.737121e-004	3.729306e-004
3.455797885798066e-005	8.200928e-005	1.692525e-004	3.659207e-004
3.572940742940924e-005	7.939014e-005	1.649148e-004	3.590474e-004
3.690083600083783e-005	7.702081e-005	1.606991e-004	3.523109e-004
3.944369314369504e-005	7.213752e-005	1.519720e-004	3.381654e-004
4.198655028655225e-005	6.772991e-005	1.436738e-004	3.245418e-004
4.452940742940945e-005	6.379799e-005	1.358045e-004	3.114399e-004
4.707226457226666e-005	6.034175e-005	1.283640e-004	2.988598e-004
4.961512171512386e-005	5.736120e-005	1.213523e-004	2.868016e-004
5.215797885798106e-005	5.485634e-005	1.147695e-004	2.752652e-004
5.470083600083827e-005	5.282716e-005	1.086155e-004	2.642506e-004
5.671512171512403e-005	5.139464e-005	1.039635e-004	2.558249e-004
5.872940742940979e-005	5.009739e-005	9.949854e-005	2.476515e-004
6.074369314369556e-005	4.893540e-005	9.522052e-005	2.397301e-004
6.275797885798132e-005	4.790868e-005	9.112948e-005	2.320610e-004
6.477226457226709e-005	4.701723e-005	8.722542e-005	2.246439e-004
6.678655028655284e-005	4.626105e-005	8.350834e-005	2.174790e-004
6.880083600083860e-005	4.564013e-005	7.997824e-005	2.105662e-004
7.204369314369583e-005	4.429152e-005	7.465308e-005	1.999382e-004
7.528655028655304e-005	4.300923e-005	6.964814e-005	1.897950e-004
7.852940742941027e-005	4.179324e-005	6.496341e-005	1.801366e-004
8.177226457226750e-005	4.064357e-005	6.059891e-005	1.709631e-004
8.501512171512471e-005	3.956020e-005	5.655463e-005	1.622743e-004
8.825797885798194e-005	3.854315e-005	5.283056e-005	1.540703e-004
9.150083600083915e-005	3.759240e-005	4.942672e-005	1.463512e-004
9.272940742941062e-005	3.729018e-005	4.818303e-005	1.435117e-004
9.395797885798207e-005	3.700329e-005	4.697138e-005	1.407260e-004
9.518655028655353e-005	3.673173e-005	4.579176e-005	1.379940e-004
9.641512171512499e-005	3.647550e-005	4.464417e-005	1.353158e-004
9.764369314369645e-005	3.623460e-005	4.352861e-005	1.326913e-004
9.887226457226791e-005	3.600904e-005	4.244508e-005	1.301206e-004
1.001008360008394e-004	3.579881e-005	4.139358e-005	1.276036e-004
1.002008360008394e-004	3.578252e-005	4.130912e-005	1.274007e-004
1.032294074294109e-004	3.512921e-005	3.886415e-005	1.214432e-004
1.062579788579824e-004	3.446784e-005	3.655821e-005	1.157420e-004
1.092865502865539e-004	3.379841e-005	3.439130e-005	1.102969e-004
1.123151217151254e-004	3.312091e-005	3.236343e-005	1.051080e-004
1.153436931436969e-004	3.243536e-005	3.047460e-005	1.001752e-004
1.183722645722684e-004	3.174174e-005	2.872480e-005	9.549870e-005
1.214008360008399e-004	3.104006e-005	2.711403e-005	9.107834e-005
1.247436931436971e-004	3.045534e-005	2.545652e-005	8.644446e-005
1.280865502865543e-004	2.988676e-005	2.390116e-005	8.202753e-005
1.314294074294115e-004	2.933432e-005	2.244796e-005	7.782755e-005
1.347722645722688e-004	2.879804e-005	2.109690e-005	7.384453e-005
1.381151217151260e-004	2.827790e-005	1.984800e-005	7.007846e-005
1.414579788579832e-004	2.777391e-005	1.870125e-005	6.652935e-005
1.448008360008404e-004	2.728606e-005	1.765665e-005	6.319719e-005
1.491151217151262e-004	2.665123e-005	1.642225e-005	5.916448e-005
1.534294074294121e-004	2.605595e-005	1.528079e-005	5.536556e-005
1.577436931436979e-004	2.550023e-005	1.423227e-005	5.180043e-005
1.620579788579837e-004	2.498406e-005	1.327668e-005	4.846909e-005
1.663722645722695e-004	2.450744e-005	1.241404e-005	4.537155e-005
1.706865502865554e-004	2.407038e-005	1.164433e-005	4.250780e-005
1.750008360008412e-004	2.367287e-005	1.096756e-005	3.987785e-005
1.789294074294127e-004	2.324971e-005	1.039768e-005	3.762498e-005
1.828579788579842e-004	2.285200e-005	9.867725e-006	3.549299e-005
1.867865502865558e-004	2.247974e-005	9.377688e-006	3.348188e-005
1.907151217151273e-004	2.213294e-005	8.927571e-006	3.159167e-005
1.946436931436988e-004	2.181158e-005	8.517376e-006	2.982233e-005
1.985722645722703e-004	2.151568e-005	8.147101e-006	2.817389e-005
2.025008360008418e-004	2.124523e-005	7.816747e-006	2.664632e-005
2.026008360008418e-004	2.123801e-005	7.808531e-006	2.660824e-005
2.086436931436991e-004	2.077143e-005	7.359602e-006	2.446052e-005
2.146865502865564e-004	2.032912e-005	6.953845e-006	2.247530e-005
2.207294074294137e-004	1.991107e-005	6.591261e-006	2.065258e-005
2.267722645722710e-004	1.951728e-005	6.271850e-006	1.899238e-005
2.328151217151283e-004	1.914777e-005	5.995612e-006	1.749468e-005
2.388579788579856e-004	1.880251e-005	5.762546e-006	1.615950e-005
2.449008360008429e-004	1.848152e-005	5.572654e-006	1.498682e-005
2.499008360008430e-004	1.819793e-005	5.423961e-006	1.407140e-005
2.500000000000000e-004	1.819267e-005	5.421108e-006	1.405398e-005
